new_type_code,category_l1,category_l2,category_l3,recommended_style_cn,recommended_style_name,style_candidates_cn,style_candidates_name,match_note,known_gap_notes
11208,美食,快餐小吃,米粉米线,中式清新,chinese_fresh_lifestyle,中式清新|清新菜单|温补汤品,chinese_fresh_lifestyle|chinese_fresh_catering_menu_poster|warm_traditional_soup_catering_kv,中式粉面可走商业餐饮、清新菜单或温补汤面方向,
10129,美食,地方菜,烤鱼,暗调火锅,dark_hotpot_warm_pot_feast_kv,暗调火锅|中式清新|温补汤品,dark_hotpot_warm_pot_feast_kv|chinese_fresh_lifestyle|warm_traditional_soup_catering_kv,热锅/鱼锅氛围优先,
10201,美食,东南亚菜,泰国菜,中式清新,chinese_fresh_lifestyle,中式清新|奶油菜单,chinese_fresh_lifestyle|light_cream_food_menu_system,可借中式清新里的南洋/花砖分支；缺专门东南亚风格,缺专门东南亚风格
10102,美食,地方菜,川菜,中式清新,chinese_fresh_lifestyle,中式清新|暗调火锅|温补汤品,chinese_fresh_lifestyle|dark_hotpot_warm_pot_feast_kv|warm_traditional_soup_catering_kv,重口味地方菜可用中式商业、热锅、温补厚重三路,
11210,美食,快餐小吃,麻辣烫,暗调火锅,dark_hotpot_warm_pot_feast_kv,暗调火锅|中式清新,dark_hotpot_warm_pot_feast_kv|chinese_fresh_lifestyle,热辣锅物和快餐促销都适配；已移除不适用风格：促销图形,
10808,美食,西餐,西式简餐,烘焙咖啡,western_bakery_cafe_editorial,烘焙咖啡|奶油菜单,western_bakery_cafe_editorial|light_cream_food_menu_system,西式编辑、奶油菜单、现代产品都可承接；已移除不适用风格：现代单品,
10110,美食,地方菜,云贵菜,中式清新,chinese_fresh_lifestyle,中式清新|田园鲜蔬|温补汤品,chinese_fresh_lifestyle|rustic_farm_fresh_produce_kv|warm_traditional_soup_catering_kv,地域/食材/传统温热都可展开,
10809,美食,西餐,其他西餐,烘焙咖啡,western_bakery_cafe_editorial,烘焙咖啡|奶油菜单,western_bakery_cafe_editorial|light_cream_food_menu_system,泛西餐用编辑和菜单系统；已移除不适用风格：现代单品,
11604,美食,热门/特色菜,烤肉,暗调火锅,dark_hotpot_warm_pot_feast_kv,暗调火锅|中式清新,dark_hotpot_warm_pot_feast_kv|chinese_fresh_lifestyle,热烈聚餐与促销表达都合适；已移除不适用风格：促销图形,
11204,美食,快餐小吃,熟食,中式清新,chinese_fresh_lifestyle,中式清新|清新菜单|温补汤品,chinese_fresh_lifestyle|chinese_fresh_catering_menu_poster|warm_traditional_soup_catering_kv,卤味/烧腊/熟食偏中式餐饮,
11611,美食,热门/特色菜,轻食沙拉,田园鲜蔬,rustic_farm_fresh_produce_kv,田园鲜蔬|鲜果茶饮,rustic_farm_fresh_produce_kv|fresh_fruit_beverage_lifestyle_kv,新鲜食材、自然感、克制产品视觉；已移除不适用风格：现代单品,
11702,美食,日韩料理,韩国料理,暗调火锅,dark_hotpot_warm_pot_feast_kv,暗调火锅|奶油菜单,dark_hotpot_warm_pot_feast_kv|light_cream_food_menu_system,可覆盖韩式烤肉/锅物或菜单；缺专门韩餐风格,缺专门韩餐风格
11003,美食,面包甜点,其他面包甜品,烘焙咖啡,western_bakery_cafe_editorial,烘焙咖啡|奶油菜单,western_bakery_cafe_editorial|light_cream_food_menu_system,烘焙甜品强匹配；已移除不适用风格：现代单品,
10802,美食,西餐,牛排,烘焙咖啡,western_bakery_cafe_editorial,烘焙咖啡|奶油菜单,western_bakery_cafe_editorial|light_cream_food_menu_system,西餐产品与菜单表达；已移除不适用风格：现代单品,
10813,美食,西餐,披萨,烘焙咖啡,western_bakery_cafe_editorial,烘焙咖啡|奶油菜单,western_bakery_cafe_editorial|light_cream_food_menu_system,西式餐饮与快餐促销；已移除不适用风格：促销图形,
10811,美食,西餐,俄罗斯菜,烘焙咖啡,western_bakery_cafe_editorial,烘焙咖啡,western_bakery_cafe_editorial,只能用泛西餐编辑/产品风；缺专门俄餐风格；已移除不适用风格：现代单品,缺专门俄餐风格
10204,美食,东南亚菜,其他东南亚菜,中式清新,chinese_fresh_lifestyle,中式清新|奶油菜单,chinese_fresh_lifestyle|light_cream_food_menu_system,可借南洋分支；缺专门东南亚风格,缺专门东南亚风格
11209,美食,快餐小吃,粥,温补汤品,warm_traditional_soup_catering_kv,温补汤品|中式清新|清新菜单,warm_traditional_soup_catering_kv|chinese_fresh_lifestyle|chinese_fresh_catering_menu_poster,温补、传统早餐/小吃均适配,
10404,美食,自助餐,海鲜自助,暗调火锅,dark_hotpot_warm_pot_feast_kv,暗调火锅,dark_hotpot_warm_pot_feast_kv,海鲜宴席/自助促销/产品化陈列；已移除不适用风格：促销图形、现代单品,
10127,美食,地方菜,山西菜,中式清新,chinese_fresh_lifestyle,中式清新|温补汤品|清新菜单,chinese_fresh_lifestyle|warm_traditional_soup_catering_kv|chinese_fresh_catering_menu_poster,地方中餐强匹配,
10135,美食,地方菜,海南菜,中式清新,chinese_fresh_lifestyle,中式清新|田园鲜蔬,chinese_fresh_lifestyle|rustic_farm_fresh_produce_kv,可借南洋/地域自然，但缺专门海南风格,缺专门海南风格
10501,美食,火锅,川渝火锅,暗调火锅,dark_hotpot_warm_pot_feast_kv,暗调火锅|中式清新|温补汤品,dark_hotpot_warm_pot_feast_kv|chinese_fresh_lifestyle|warm_traditional_soup_catering_kv,火锅强匹配,
10133,美食,地方菜,天津菜,中式清新,chinese_fresh_lifestyle,中式清新|清新菜单|温补汤品,chinese_fresh_lifestyle|chinese_fresh_catering_menu_poster|warm_traditional_soup_catering_kv,地方中餐强匹配,
10126,美食,地方菜,江西菜,中式清新,chinese_fresh_lifestyle,中式清新|暗调火锅|温补汤品,chinese_fresh_lifestyle|dark_hotpot_warm_pot_feast_kv|warm_traditional_soup_catering_kv,辣味地方菜可偏热烈,
10128,美食,地方菜,酸菜鱼,暗调火锅,dark_hotpot_warm_pot_feast_kv,暗调火锅|温补汤品|中式清新,dark_hotpot_warm_pot_feast_kv|warm_traditional_soup_catering_kv|chinese_fresh_lifestyle,鱼锅/汤锅/中式商业都适配,
11202,美食,快餐小吃,小吃,奶油菜单,light_cream_food_menu_system,奶油菜单|清新菜单,light_cream_food_menu_system|chinese_fresh_catering_menu_poster,快餐菜单和促销都适配；已移除不适用风格：促销图形,
10120,美食,地方菜,新疆菜,田园鲜蔬,rustic_farm_fresh_produce_kv,田园鲜蔬|暗调火锅|中式清新,rustic_farm_fresh_produce_kv|dark_hotpot_warm_pot_feast_kv|chinese_fresh_lifestyle,地域食材、烤肉聚餐、中式商业,
10509,美食,火锅,老北京火锅,暗调火锅,dark_hotpot_warm_pot_feast_kv,暗调火锅|温补汤品|中式清新,dark_hotpot_warm_pot_feast_kv|warm_traditional_soup_catering_kv|chinese_fresh_lifestyle,火锅强匹配,
10134,美食,地方菜,蒙古菜,田园鲜蔬,rustic_farm_fresh_produce_kv,田园鲜蔬|暗调火锅|温补汤品,rustic_farm_fresh_produce_kv|dark_hotpot_warm_pot_feast_kv|warm_traditional_soup_catering_kv,草原/牛羊肉/热锅方向,
11701,美食,日韩料理,日料,奶油菜单,light_cream_food_menu_system,奶油菜单,light_cream_food_menu_system,可做清爽菜单/产品编辑；缺专门日料风格；已移除不适用风格：现代单品,缺专门日料风格
11603,美食,热门/特色菜,烧烤,暗调火锅,dark_hotpot_warm_pot_feast_kv,暗调火锅|中式清新,dark_hotpot_warm_pot_feast_kv|chinese_fresh_lifestyle,热烈聚餐和促销适配；已移除不适用风格：促销图形,
11104,美食,饮品,冰淇淋/酸奶,鲜果茶饮,fresh_fruit_beverage_lifestyle_kv,鲜果茶饮|奶油菜单|烘焙咖啡,fresh_fruit_beverage_lifestyle_kv|light_cream_food_menu_system|western_bakery_cafe_editorial,清新饮品甜品强匹配,
